date,order_no,format,division_name,orderval,rcvval
2020-10-20,259.0,sm,Grocery Food,"1,554.1","1,554.1"
2020-10-19,260.0,sm,Staples,"68,753.1","68,001.7"
2020-10-25,261.0,sm,Grocery Non Food,"2,081.7","2,081.7"
2020-10-23,262.0,sm,Grocery Food,"4,156.5","4,156.5"
2020-10-22,263.0,sm,Grocery Food,512.5,512.5
2020-10-21,264.0,sm,Grocery Non Food,"20,162.9","20,162.9"
2020-10-19,265.0,sm,Grocery Food,"2,095.8","2,095.8"
2020-10-21,266.0,sm,Staples,"21,690.4","21,690.4"
2020-10-22,267.0,sm,Grocery Food,988.6,988.6
2020-10-20,268.0,sm,Grocery Non Food,"3,293.2","3,293.2"
2020-10-24,269.0,sm,Grocery Food,"1,138.3","1,138.3"
2020-10-21,270.0,sm,Grocery Food,"2,486.9","2,486.9"
2020-10-20,271.0,sm,Grocery Non Food,"8,514.4","8,514.4"
2020-10-22,272.0,sm,Grocery Food,"12,450.6","12,450.6"
2020-10-20,273.0,sm,Grocery Food,"1,554.1","1,554.1"
2020-10-21,274.0,sm,Grocery Food,"1,809.2","1,809.2"
2020-10-21,275.0,sm,Grocery Food,988.6,988.6
2020-10-17,276.0,sm,Grocery Food,"1,497.4","1,497.4"
2020-10-21,277.0,sm,Grocery Food,945.5,945.5
2020-10-23,278.0,sm,Grocery Food,"5,175.7","5,175.7"
2020-10-19,279.0,sm,Grocery Food,"4,192.5","4,192.5"
2020-10-19,280.0,sm,Grocery Non Food,"1,440.5","1,440.5"
2020-10-19,281.0,sm,Grocery Non Food,"2,173.1","2,173.1"
2020-10-22,282.0,sm,Grocery Food,"10,149.4","10,149.4"
2020-10-19,283.0,sm,Grocery Non Food,"1,812.0","1,812.0"
2020-10-22,284.0,sm,Grocery Non Food,"1,219.0","1,219.0"
2020-10-20,285.0,sm,Grocery Non Food,"4,860.0","4,860.0"
2020-10-24,286.0,sm,Grocery Food,"34,000.0","6,800.0"
2020-10-20,287.0,sm,Grocery Food,"1,420.5","1,420.5"
2020-10-21,288.0,sm,Grocery Food,"41,020.2","41,020.2"
2020-10-19,289.0,sm,Grocery Non Food,752.5,752.5
2020-10-17,290.0,sm,Grocery Non Food,"2,707.7","2,707.7"
2020-10-19,291.0,sm,Grocery Non Food,"1,613.3","1,613.3"
2020-10-23,292.0,sm,Grocery Food,"4,740.8","4,740.8"
2020-10-23,293.0,sm,Grocery Food,"2,683.2","2,683.2"
2020-10-25,294.0,sm,Grocery Food,"1,038.1","1,038.1"
2020-10-25,295.0,sm,Grocery Non Food,"3,657.3","3,657.3"
2020-10-25,296.0,sm,Grocery Non Food,"1,219.0","1,219.0"
2020-10-20,297.0,sm,Grocery Food,"4,411.3","4,411.3"
2020-10-20,298.0,sm,Grocery Food,"4,050.0","4,050.0"
2020-10-20,299.0,sm,Grocery Food,"1,677.0","1,677.0"
2020-10-21,300.0,sm,Grocery Food,"34,676.5","34,676.5"
2020-10-21,301.0,sm,Grocery Food,"1,680.9","1,680.9"
2020-10-26,302.0,sm,Grocery Non Food,609.5,609.5
2020-10-20,303.0,sm,Grocery Non Food,752.5,752.5
2020-10-20,304.0,sm,Grocery Non Food,"4,498.2","4,498.2"
2020-10-16,305.0,sm,Grocery Food,"3,355.8","3,355.8"
2020-10-20,306.0,sm,Grocery Non Food,"3,844.1","3,844.1"
2020-10-21,307.0,sm,Grocery Non Food,"1,613.3","1,613.3"
2020-10-21,308.0,sm,Grocery Food,"3,007.3","3,007.3"
2020-10-21,309.0,sm,Grocery Food,"4,742.4","4,742.4"
2020-10-20,310.0,sm,Grocery Non Food,"2,173.1","2,173.1"
2020-10-20,311.0,sm,Grocery Non Food,752.5,752.5
2020-10-16,312.0,sm,Staples,"1,392.9","1,392.9"
2020-10-19,313.0,sm,Grocery Non Food,"21,493.3","21,493.3"
2020-10-25,314.0,sm,Grocery Non Food,"4,501.6","4,501.6"
2020-10-24,315.0,sm,Grocery Non Food,"24,532.8","23,417.7"
2020-10-21,316.0,sm,Grocery Food,"6,375.1","6,375.1"
2020-10-20,317.0,sm,Grocery Food,"3,862.2","3,862.2"
2020-10-22,318.0,sm,Grocery Food,"1,761.4","1,761.4"
2020-10-21,319.0,sm,Grocery Food,"1,554.1","1,554.1"
2020-10-22,320.0,sm,Grocery Non Food,"4,860.0","4,860.0"
2020-10-21,321.0,sm,Grocery Food,"4,781.4","3,187.6"
2020-10-21,322.0,sm,Grocery Food,842.5,842.5
2020-10-22,323.0,sm,Grocery Food,"1,729.8","1,729.8"
2020-10-23,324.0,sm,Grocery Non Food,"3,775.6","3,775.6"
2020-10-21,325.0,sm,Grocery Food,"4,112.0","4,112.0"
2020-10-22,326.0,sm,Grocery Food,"1,288.4","1,288.4"
2020-10-19,327.0,sm,Grocery Non Food,"2,974.1","2,974.1"
2020-10-23,328.0,sm,Grocery Non Food,"6,382.6","6,382.6"
